mine_id,subunit_cd,calendar_yr,annual_hrs,annual_coal_prod,avg_annual_empl,load_dt
0101401,02,2017,188119,0,67,2018-01-31 01:03:38.936952 -05:00
0101401,99,2017,37044,0,12,2018-01-31 01:03:38.249869 -05:00
0101401,01,2017,1609485,4864828,632,2018-01-31 01:03:36.959869 -05:00
0101401,30,2017,217670,0,85,2018-01-31 01:03:36.853185 -05:00
0101565,03,2017,9528,0,5,2018-01-31 01:03:40.224187 -05:00
0101565,99,2017,2040,0,1,2018-01-31 01:03:37.910533 -05:00
0101832,06,2017,3949,0,2,2018-01-31 01:03:40.979905 -05:00
0101832,03,2017,12722,0,6,2018-01-31 01:03:38.501501 -05:00
0101832,99,2017,979,0,1,2018-01-31 01:03:37.672729 -05:00
0101983,03,2017,3832,0,3,2018-01-31 01:03:41.598925 -05:00
0101983,06,2017,1280,0,1,2018-01-31 01:03:39.799298 -05:00
0102013,30,2017,7441,0,6,2018-01-31 01:03:41.357941 -05:00
0102013,03,2017,1620,0,3,2018-01-31 01:03:38.586688 -05:00
0102013,99,2017,418,0,1,2018-01-31 01:03:36.189446 -05:00
0102014,03,2017,31487,0,10,2018-01-31 01:03:39.591704 -05:00
0102014,99,2017,17324,0,6,2018-01-31 01:03:38.311284 -05:00
0102014,30,2017,100446,0,31,2018-01-31 01:03:37.092920 -05:00
0102087,03,2017,11907,0,5,2018-01-31 01:03:38.081954 -05:00
0102140,99,2017,7050,0,4,2018-01-31 01:03:40.213137 -05:00
0102140,03,2017,7342,0,3,2018-01-31 01:03:39.692475 -05:00
0102140,30,2017,16076,0,7,2018-01-31 01:03:37.308418 -05:00
0102200,03,2017,555,0,2,2018-01-31 01:03:38.389548 -05:00
0102237,99,2017,1792,0,1,2018-01-31 01:03:39.170963 -05:00
0102237,03,2017,8559,0,4,2018-01-31 01:03:38.812419 -05:00
0102343,30,2017,165145,0,85,2018-01-31 01:03:41.380761 -05:00
0102343,99,2017,23024,0,13,2018-01-31 01:03:39.876852 -05:00
0102372,03,2017,23699,0,11,2018-01-31 01:03:39.125861 -05:00
0102372,99,2017,3601,0,2,2018-01-31 01:03:38.359892 -05:00
0102515,99,2017,216,0,1,2018-01-31 01:03:41.260584 -05:00
0102515,17,2017,38198,0,22,2018-01-31 01:03:38.875245 -05:00
0102523,30,2017,5200,0,2,2018-01-31 01:03:40.241111 -05:00
0102523,99,2017,3018,0,2,2018-01-31 01:03:39.549777 -05:00
0102523,03,2017,16212,0,16,2018-01-31 01:03:38.377101 -05:00
0102606,99,2017,2720,0,1,2018-01-31 01:03:40.088815 -05:00
0102606,03,2017,16459,0,7,2018-01-31 01:03:36.813079 -05:00
0102660,30,2017,30331,0,12,2018-01-31 01:03:41.523693 -05:00
0102660,99,2017,10117,0,4,2018-01-31 01:03:39.610898 -05:00
0102660,03,2017,18205,0,7,2018-01-31 01:03:38.371246 -05:00
0102687,30,2017,183344,0,83,2018-01-31 01:03:38.639470 -05:00
0102687,99,2017,8409,0,4,2018-01-31 01:03:37.553577 -05:00
0102738,03,2017,10320,0,5,2018-01-31 01:03:40.763471 -05:00
0102743,99,2017,2294,0,2,2018-01-31 01:03:37.991099 -05:00
0102743,30,2017,5200,0,2,2018-01-31 01:03:37.968253 -05:00
0102743,03,2017,18731,0,19,2018-01-31 01:03:37.740822 -05:00
0102794,99,2017,40,0,1,2018-01-31 01:03:38.974100 -05:00
0102794,06,2017,5761,0,2,2018-01-31 01:03:36.598659 -05:00
0102810,99,2017,2492,0,2,2018-01-31 01:03:41.088644 -05:00
0102810,03,2017,789,0,1,2018-01-31 01:03:37.690692 -05:00
0102814,03,2017,9366,0,5,2018-01-31 01:03:39.468572 -05:00
0102814,99,2017,3120,0,2,2018-01-31 01:03:36.247434 -05:00
0102822,03,2017,87640,0,34,2018-01-31 01:03:38.621595 -05:00
0102883,03,2017,2162,0,2,2018-01-31 01:03:38.317986 -05:00
0102894,03,2017,7962,0,4,2018-01-31 01:03:35.982838 -05:00
0102894,99,2017,1880,0,2,2018-01-31 01:03:41.214859 -05:00
0102901,02,2017,36001,0,16,2018-01-31 01:03:39.905629 -05:00
0102901,30,2017,116736,0,53,2018-01-31 01:03:39.421632 -05:00
0102901,99,2017,40748,0,17,2018-01-31 01:03:38.523264 -05:00
0102901,01,2017,746781,2078760,334,2018-01-31 01:03:38.512609 -05:00
0102936,03,2017,4252,0,3,2018-01-31 01:03:40.928228 -05:00
0102936,99,2017,32,0,2,2018-01-31 01:03:38.529682 -05:00
0102945,03,2017,9258,0,5,2018-01-31 01:03:37.708007 -05:00
0102947,99,2017,194,0,1,2018-01-31 01:03:38.093062 -05:00
0102947,03,2017,8167,0,4,2018-01-31 01:03:36.781486 -05:00
0102956,03,2017,11807,0,5,2018-01-31 01:03:41.193599 -05:00
0102956,30,2017,35357,0,14,2018-01-31 01:03:39.968817 -05:00
0102956,99,2017,5134,0,3,2018-01-31 01:03:36.334084 -05:00
0102976,30,2017,17970,0,9,2018-01-31 01:03:41.576315 -05:00
0102985,03,2017,8155,0,4,2018-01-31 01:03:41.380135 -05:00
0102985,30,2017,74110,0,38,2018-01-31 01:03:41.260407 -05:00
0102985,99,2017,45008,0,26,2018-01-31 01:03:40.898076 -05:00
0102996,03,2017,2597,2657,6,2018-01-31 01:03:39.550064 -05:00
0103003,30,2017,3014,0,2,2018-01-31 01:03:40.843035 -05:00
0103003,99,2017,40,0,1,2018-01-31 01:03:38.554274 -05:00
0103005,03,2017,28328,0,15,2018-01-31 01:03:39.321302 -05:00
0103005,99,2017,3887,0,3,2018-01-31 01:03:36.212965 -05:00
0103022,03,2017,24692,0,11,2018-01-31 01:03:40.826505 -05:00
0103022,99,2017,3290,0,1,2018-01-31 01:03:38.150102 -05:00
0103022,30,2017,4937,0,2,2018-01-31 01:03:36.868655 -05:00
0103025,99,2017,16560,0,9,2018-01-31 01:03:38.197362 -05:00
0103025,30,2017,38496,0,18,2018-01-31 01:03:37.314508 -05:00
0103041,03,2017,10052,0,4,2018-01-31 01:03:40.145458 -05:00
0103041,99,2017,2429,0,2,2018-01-31 01:03:38.776591 -05:00
